"Bron/Techniek";"Energietoepassingen";"Perioden";"Bruto eindverbruik hernieuwbare energie/Bruto eindverbruik (TJ)";"Bruto eindverbruik hernieuwbare energie/Bruto eindverbruik relatief (% van totaal eindverbruik energie)";"Vermeden verbruik van fossiele energie/Vermeden verbruik (TJ)";"Vermeden verbruik van fossiele energie/Vermeden verbruik relatief (% van totaal energieverbruik)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie (kton)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie relatief (% van totale CO2 emissie)"
"Biomassaketels bedrijven, alleen warmte";"Elektriciteit";"2017**";"";"";"";"";"";""
"Biomassaketels bedrijven, alleen warmte";"Elektriciteit";"2018**";"";"";"";"";"";""
"Biomassaketels bedrijven, alleen warmte";"Warmte";"2017**";"    9728";"    0.46";"    9200";"    0.29";"     521";"    0.32"
"Biomassaketels bedrijven, alleen warmte";"Warmte";"2018**";"   11272";"    0.53";"   10681";"    0.34";"     605";"    0.38"
"Biomassaketels bedrijven, alleen warmte";"Vervoer";"2017**";"";"";"";"";"";""
"Biomassaketels bedrijven, alleen warmte";"Vervoer";"2018**";"";"";"";"";"";""
"Totaal biogas";"Totaal energietoepassingen";"2017**";"   10554";"    0.50";"   12127";"    0.38";"     814";"    0.49"
"Totaal biogas";"Totaal energietoepassingen";"2018**";"   11359";"    0.54";"   12165";"    0.39";"     808";"    0.50"
"Totaal biogas";"Elektriciteit";"2017**";"    3792";"    0.18";"    7462";"    0.24";"     545";"    0.33"
"Totaal biogas";"Elektriciteit";"2018**";"    3687";"    0.17";"    6944";"    0.22";"     508";"    0.32"
"Totaal biogas";"Warmte";"2017**";"    6533";"    0.31";"    4423";"    0.14";"     250";"    0.15"
"Totaal biogas";"Warmte";"2018**";"    7397";"    0.35";"    4939";"    0.16";"     280";"    0.17"
"Totaal biogas";"Vervoer";"2017**";"     230";"    0.01";"     243";"    0.01";"      18";"    0.01"
"Totaal biogas";"Vervoer";"2018**";"     276";"    0.01";"     283";"    0.01";"      21";"    0.01"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2017**";"     350";"    0.02";"     494";"    0.02";"      33";"    0.02"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2018**";"     354";"    0.02";"     494";"    0.02";"      33";"    0.02"
"Biogas uit stortplaatsen";"Elektriciteit";"2017**";"     131";"    0.01";"     269";"    0.01";"      20";"    0.01"
"Biogas uit stortplaatsen";"Elektriciteit";"2018**";"     130";"    0.01";"     267";"    0.01";"      19";"    0.01"
"Biogas uit stortplaatsen";"Warmte";"2017**";"     208";"    0.01";"     213";"    0.01";"      12";"    0.01"
"Biogas uit stortplaatsen";"Warmte";"2018**";"     211";"    0.01";"     214";"    0.01";"      12";"    0.01"
"Biogas uit stortplaatsen";"Vervoer";"2017**";"      12";"    0.00";"      12";"    0.00";"       1";"    0.00"
"Biogas uit stortplaatsen";"Vervoer";"2018**";"      13";"    0.00";"      13";"    0.00";"       1";"    0.00"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2017**";"    1991";"    0.09";"    1769";"    0.06";"     125";"    0.08"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2018**";"    2056";"    0.10";"    1890";"    0.06";"     131";"    0.08"
"Biogas rioolwaterzuiveringsinstallaties";"Elektriciteit";"2017**";"     706";"    0.03";"    1510";"    0.05";"     110";"    0.07"
"Biogas rioolwaterzuiveringsinstallaties";"Elektriciteit";"2018**";"     705";"    0.03";"    1473";"    0.05";"     108";"    0.07"
"Biogas rioolwaterzuiveringsinstallaties";"Warmte";"2017**";"    1285";"    0.06";"     259";"    0.01";"      15";"    0.01"
"Biogas rioolwaterzuiveringsinstallaties";"Warmte";"2018**";"    1345";"    0.06";"     411";"    0.01";"      23";"    0.01"
"Biogas rioolwaterzuiveringsinstallaties";"Vervoer";"2017**";"";"";"";"";"";""
"Biogas rioolwaterzuiveringsinstallaties";"Vervoer";"2018**";"       6";"    0.00";"       6";"    0.00";"       0";"    0.00"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2017**";"    4084";"    0.19";"    5338";"    0.17";"     364";"    0.22"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2018**";"    4493";"    0.21";"    5092";"    0.16";"     348";"    0.22"
"Biogas, co-vergisting van mest";"Elektriciteit";"2017**";"    1832";"    0.09";"    3768";"    0.12";"     275";"    0.17"
"Biogas, co-vergisting van mest";"Elektriciteit";"2018**";"    1858";"    0.09";"    3541";"    0.11";"     259";"    0.16"
"Biogas, co-vergisting van mest";"Warmte";"2017**";"    2252";"    0.11";"    1570";"    0.05";"      89";"    0.05"
"Biogas, co-vergisting van mest";"Warmte";"2018**";"    2584";"    0.12";"    1499";"    0.05";"      85";"    0.05"
"Biogas, co-vergisting van mest";"Vervoer";"2017**";"";"";"";"";"";""
"Biogas, co-vergisting van mest";"Vervoer";"2018**";"      52";"    0.00";"      52";"    0.00";"       4";"    0.00"
"Overig biogas";"Totaal energietoepassingen";"2017**";"    4130";"    0.20";"    4526";"    0.14";"     292";"    0.18"
"Overig biogas";"Totaal energietoepassingen";"2018**";"    4456";"    0.21";"    4690";"    0.15";"     297";"    0.18"
"Overig biogas";"Elektriciteit";"2017**";"    1123";"    0.05";"    1914";"    0.06";"     140";"    0.08"
"Overig biogas";"Elektriciteit";"2018**";"     994";"    0.05";"    1663";"    0.05";"     122";"    0.08"
"Overig biogas";"Warmte";"2017**";"    2788";"    0.13";"    2381";"    0.08";"     135";"    0.08"
"Overig biogas";"Warmte";"2018**";"    3257";"    0.15";"    2815";"    0.09";"     159";"    0.10"
"Overig biogas";"Vervoer";"2017**";"     218";"    0.01";"     230";"    0.01";"      17";"    0.01"
"Overig biogas";"Vervoer";"2018**";"     205";"    0.01";"     212";"    0.01";"      16";"    0.01"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2017**";"   13483";"    0.64";"   13483";"    0.43";"     935";"    0.57"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2018**";"   22809";"    1.08";"   22809";"    0.73";"    1600";"    0.99"
"Vloeibare biotransportbrandstof, totaal";"Elektriciteit";"2017**";"";"";"";"";"";""
"Vloeibare biotransportbrandstof, totaal";"Elektriciteit";"2018**";"";"";"";"";"";""
"Vloeibare biotransportbrandstof, totaal";"Warmte";"2017**";"    1022";"    0.05";"    1022";"    0.03";"      78";"    0.05"
"Vloeibare biotransportbrandstof, totaal";"Warmte";"2018**";"    1933";"    0.09";"    1933";"    0.06";"     146";"    0.09"
"Vloeibare biotransportbrandstof, totaal";"Vervoer";"2017**";"   12461";"    0.59";"   12461";"    0.39";"     856";"    0.52"
"Vloeibare biotransportbrandstof, totaal";"Vervoer";"2018**";"   20876";"    0.99";"   20876";"    0.67";"    1454";"    0.90"
"Biobenzine";"Totaal energietoepassingen";"2017**";"    5399";"    0.26";"    5399";"    0.17";"     314";"    0.19"
"Biobenzine";"Totaal energietoepassingen";"2018**";"    7146";"    0.34";"    7146";"    0.23";"     415";"    0.26"
"Biobenzine";"Elektriciteit";"2017**";"";"";"";"";"";""
"Biobenzine";"Elektriciteit";"2018**";"";"";"";"";"";""
"Biobenzine";"Warmte";"2017**";"";"";"";"";"";""
"Biobenzine";"Warmte";"2018**";"";"";"";"";"";""
"Biobenzine";"Vervoer";"2017**";"    5399";"    0.26";"    5399";"    0.17";"     314";"    0.19"
"Biobenzine";"Vervoer";"2018**";"    7146";"    0.34";"    7146";"    0.23";"     415";"    0.26"
"Biodiesel";"Totaal energietoepassingen";"2017**";"    8084";"    0.38";"    8084";"    0.26";"     620";"    0.38"
"Biodiesel";"Totaal energietoepassingen";"2018**";"   15663";"    0.74";"   15663";"    0.50";"    1184";"    0.74"
"Biodiesel";"Elektriciteit";"2017**";"";"";"";"";"";""
"Biodiesel";"Elektriciteit";"2018**";"";"";"";"";"";""
"Biodiesel";"Warmte";"2017**";"    1022";"    0.05";"    1022";"    0.03";"      78";"    0.05"
"Biodiesel";"Warmte";"2018**";"    1933";"    0.09";"    1933";"    0.06";"     146";"    0.09"
"Biodiesel";"Vervoer";"2017**";"    7062";"    0.33";"    7062";"    0.22";"     542";"    0.33"
"Biodiesel";"Vervoer";"2018**";"   13730";"    0.65";"   13730";"    0.44";"    1038";"    0.64"
