"Bron/Techniek";"Energietoepassingen";"Perioden";"Bruto eindverbruik hernieuwbare energie/Bruto eindverbruik (TJ)";"Bruto eindverbruik hernieuwbare energie/Bruto eindverbruik relatief (% van totaal eindverbruik energie)";"Vermeden verbruik van fossiele energie/Vermeden verbruik (TJ)";"Vermeden verbruik van fossiele energie/Vermeden verbruik relatief (% van totaal energieverbruik)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie (kton)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie relatief (% van totale CO2 emissie)"
"Zonnestroom";"Elektriciteit";"2017**";"    7936";"    0.37";"   17793";"    0.56";"    1301";"    0.79"
"Zonnestroom";"Elektriciteit";"2018**";"   11524";"    0.54";"   25839";"    0.83";"    1889";"    1.17"
"Zonnestroom";"Warmte";"2017**";"";"";"";"";"";""
"Zonnestroom";"Warmte";"2018**";"";"";"";"";"";""
"Zonnestroom";"Vervoer";"2017**";"";"";"";"";"";""
"Zonnestroom";"Vervoer";"2018**";"";"";"";"";"";""
"Totaal zonnewarmte";"Totaal energietoepassingen";"2017**";"    1144";"    0.05";"    1191";"    0.04";"      67";"    0.04"
"Totaal zonnewarmte";"Totaal energietoepassingen";"2018**";"    1147";"    0.05";"    1198";"    0.04";"      68";"    0.04"
"Totaal zonnewarmte";"Elektriciteit";"2017**";"";"";"";"";"";""
"Totaal zonnewarmte";"Elektriciteit";"2018**";"";"";"";"";"";""
"Totaal zonnewarmte";"Warmte";"2017**";"    1144";"    0.05";"    1191";"    0.04";"      67";"    0.04"
"Totaal zonnewarmte";"Warmte";"2018**";"    1147";"    0.05";"    1198";"    0.04";"      68";"    0.04"
"Totaal zonnewarmte";"Vervoer";"2017**";"";"";"";"";"";""
"Totaal zonnewarmte";"Vervoer";"2018**";"";"";"";"";"";""
"Zonnewarmte, afgedekte systemen <= 6m2";"Totaal energietoepassingen";"2017**";"     820";"    0.04";"     883";"    0.03";"      50";"    0.03"
"Zonnewarmte, afgedekte systemen <= 6m2";"Totaal energietoepassingen";"2018**";"     817";"    0.04";"     880";"    0.03";"      50";"    0.03"
"Zonnewarmte, afgedekte systemen <= 6m2";"Elektriciteit";"2017**";"";"";"";"";"";""
"Zonnewarmte, afgedekte systemen <= 6m2";"Elektriciteit";"2018**";"";"";"";"";"";""
"Zonnewarmte, afgedekte systemen <= 6m2";"Warmte";"2017**";"     820";"    0.04";"     883";"    0.03";"      50";"    0.03"
"Zonnewarmte, afgedekte systemen <= 6m2";"Warmte";"2018**";"     817";"    0.04";"     880";"    0.03";"      50";"    0.03"
"Zonnewarmte, afgedekte systemen <= 6m2";"Vervoer";"2017**";"";"";"";"";"";""
"Zonnewarmte, afgedekte systemen <= 6m2";"Vervoer";"2018**";"";"";"";"";"";""
"Zonnewarmte, afgedekte systemen > 6m2";"Totaal energietoepassingen";"2017**";"     204";"    0.01";"     220";"    0.01";"      12";"    0.01"
"Zonnewarmte, afgedekte systemen > 6m2";"Totaal energietoepassingen";"2018**";"     220";"    0.01";"     237";"    0.01";"      13";"    0.01"
"Zonnewarmte, afgedekte systemen > 6m2";"Elektriciteit";"2017**";"";"";"";"";"";""
